INTRPRETE;CàDIGO;TÖTULO;INÖCIO DA LETRA
365;06549;SÃO PAULO;Tem dias que eu digo não….
10 cc;04920;I'M NOT IN LOVE;I'm not in love so don't forget it...
10,000 Maniacs;19807;MORE THAN THIS;I could feel at the time
14 Bis;07392;NATURAL;Penso em você no seu jeito de falar
14 Bis;07693;ROMANCE;Flores simples
14 Bis;09556;UMA VELHA CANÇÃO ROCK'N'ROLL;Olhe oh oh oh venha solte seu corpo n
14 Bis;03755;LINDA JUVENTUDE;Zabelê, zumbi, besouro vespa fabricando
14 Bis;06074;PLANETA SONHO;Aqui ninguém mais ficará depois do sol...
14 Bis;06197;PLANETA SONHO;Foi assim como ver o mar…
14 Bis;01039;BOLA DE MEIA BOLA DE GUDE;Há um menino há um moleque Moran
3 Doors Down;09033;HERE WITHOUT YOU;A hundred days had made me older
4 Non Blondes;09072;WHAT'S UP;Twenty-five years and my life is still
4 Non Blondes;02578;SPACEMAN;Starry night bring me down
5 a Seco - Maria Gadú;15225;EM PAZ;Caiu do céu se revelou anjo da noite e das manhãs
5 Seconds Of Summer;19852;SHE LOOKS SO PERFECT;He-ey e-hey... Simmer down simmer down
A Banda Mais Bonita da Cidade;02748;ORAÇÃO;Meu amor essa é a última oração
A Banda Mais Bonita da Cidade;15450;CANÇÃO PRA NÃO VOLTAR;Não volte pra casa meu amor que aqui
A Cor Do Som;07480;ZANZIBAR;No azul de Jezebel no céu de Calcutá
A Cor do Som;15200;VIVA;Viva a alegria e viva o prazer
A Cor Do Som;06402;ABRI A PORTA;Abri a porta apareci…
A Cor Do Som;07175;MENINO DEUS;Menino Deus um corpo azul-dourado
A Teens;04970;SUPER TROUPER;Super trouper beams are gonna blind me...
A Teens;04938;MAMMA MIA;I've being cheated by you since I don't...
A Turma Do Balão Mágico;01543;BRUXINHA;Ô bruxinha bonitinha da vassoura de
A Turma do Mônica;07548;SER CRIANÇA É BOM;Ser criança é bom ser criança faz bem...
A VIGÍLIA;05614;JEOVÁ É O TEU CAVALEIRO;Jeová é o teu cavaleiro que...
A VIGÍLIA ;05617;JESUS TE ENTRONIZAMOS;Jesus nesta noite...
A VIGÍLIA ;05636;RENOVA-ME;Renova-me Senhor Jesus já não quero...
